,area_id,datetime,humidity,temprature
154,Kabupaten Mojokerto,20240613,95,23
155,Kabupaten Mojokerto,20240613,90,22
156,Kabupaten Pasuruan,20240611,85,26
157,Kabupaten Pasuruan,20240611,70,31
158,Kabupaten Pasuruan,20240611,80,27
159,Kabupaten Pasuruan,20240611,85,24
160,Kabupaten Pasuruan,20240612,90,25
161,Kabupaten Pasuruan,20240612,65,31
162,Kabupaten Pasuruan,20240612,85,26
163,Kabupaten Pasuruan,20240612,95,24
164,Kabupaten Pasuruan,20240613,90,25
165,Kabupaten Pasuruan,20240613,65,31
166,Kabupaten Pasuruan,20240613,90,25
167,Kabupaten Pasuruan,20240613,85,23
168,Kabupaten Probolinggo,20240611,85,26
169,Kabupaten Probolinggo,20240611,65,31
170,Kabupaten Probolinggo,20240611,80,27
171,Kabupaten Probolinggo,20240611,85,24
172,Kabupaten Probolinggo,20240612,90,25
173,Kabupaten Probolinggo,20240612,65,31
174,Kabupaten Probolinggo,20240612,85,25
175,Kabupaten Probolinggo,20240612,95,24
176,Kabupaten Probolinggo,20240613,85,25
177,Kabupaten Probolinggo,20240613,70,30
178,Kabupaten Probolinggo,20240613,85,25
179,Kabupaten Probolinggo,20240613,90,24
180,Kota Blitar,20240611,80,27
181,Kota Blitar,20240611,60,33
182,Kota Blitar,20240611,75,27
183,Kota Blitar,20240611,85,25
184,Kota Blitar,20240612,85,24
185,Kota Blitar,20240612,65,30
186,Kota Blitar,20240612,90,24
187,Kota Blitar,20240612,95,24
188,Kota Blitar,20240613,90,24
189,Kota Blitar,20240613,70,30
190,Kota Blitar,20240613,90,25
191,Kota Blitar,20240613,95,23
192,Kota Kediri,20240611,80,27
193,Kota Kediri,20240611,60,33
194,Kota Kediri,20240611,75,28
195,Kota Kediri,20240611,85,25
196,Kota Kediri,20240612,85,27
197,Kota Kediri,20240612,60,33
198,Kota Kediri,20240612,85,26
199,Kota Kediri,20240612,90,25
200,Kota Kediri,20240613,85,26
201,Kota Kediri,20240613,55,33
202,Kota Kediri,20240613,80,27
203,Kota Kediri,20240613,85,26
204,Kota Madiun,20240611,80,27
205,Kota Madiun,20240611,60,33
206,Kota Madiun,20240611,80,28
207,Kota Madiun,20240611,85,25
208,Kota Madiun,20240612,85,26
209,Kota Madiun,20240612,65,32
210,Kota Madiun,20240612,80,27
211,Kota Madiun,20240612,90,26
212,Kota Madiun,20240613,90,26
213,Kota Madiun,20240613,60,32
214,Kota Madiun,20240613,85,28
215,Kota Madiun,20240613,90,26
216,Kota Malang,20240611,80,25
217,Kota Malang,20240611,60,31
218,Kota Malang,20240611,80,27
219,Kota Malang,20240611,85,24
220,Kota Malang,20240612,85,23
221,Kota Malang,20240612,55,33
222,Kota Malang,20240612,90,23
223,Kota Malang,20240612,100,22
224,Kota Malang,20240613,95,23
225,Kota Malang,20240613,55,35
226,Kota Malang,20240613,95,22
227,Kota Malang,20240613,100,21
228,Kota Mojokerto,20240611,80,27
229,Kota Mojokerto,20240611,60,33
230,Kota Mojokerto,20240611,75,28
231,Kota Mojokerto,20240611,85,25
232,Kota Mojokerto,20240612,85,26
233,Kota Mojokerto,20240612,65,30
234,Kota Mojokerto,20240612,90,26
235,Kota Mojokerto,20240612,90,25
236,Kota Mojokerto,20240613,90,26
237,Kota Mojokerto,20240613,65,33
238,Kota Mojokerto,20240613,85,25
239,Kota Mojokerto,20240613,90,25
240,Kota Pasuruan,20240611,80,27
241,Kota Pasuruan,20240611,60,32
242,Kota Pasuruan,20240611,75,28
243,Kota Pasuruan,20240611,85,25
244,Kota Pasuruan,20240612,85,26
245,Kota Pasuruan,20240612,65,33
246,Kota Pasuruan,20240612,80,29
247,Kota Pasuruan,20240612,90,26
248,Kota Pasuruan,20240613,90,26
249,Kota Pasuruan,20240613,65,33
250,Kota Pasuruan,20240613,90,27
251,Kota Pasuruan,20240613,95,25
252,Kota Probolinggo,20240611,80,27
253,Kota Probolinggo,20240611,60,32
254,Kota Probolinggo,20240611,75,28
255,Kota Probolinggo,20240611,85,25
256,Kota Probolinggo,20240612,85,27
257,Kota Probolinggo,20240612,75,31
258,Kota Probolinggo,20240612,80,28
259,Kota Probolinggo,20240612,95,27
260,Kota Probolinggo,20240613,85,27
261,Kota Probolinggo,20240613,65,32
262,Kota Probolinggo,20240613,90,28
263,Kota Probolinggo,20240613,95,26
264,Lamongan,20240611,80,26
265,Lamongan,20240611,60,32
266,Lamongan,20240611,75,27
267,Lamongan,20240611,85,25
268,Lamongan,20240612,85,25
269,Lamongan,20240612,70,32
270,Lamongan,20240612,90,26
271,Lamongan,20240612,90,24
272,Lamongan,20240613,95,26
273,Lamongan,20240613,65,32
274,Lamongan,20240613,85,26
275,Lamongan,20240613,90,25
276,Lumajang,20240611,80,26
277,Lumajang,20240611,60,32
278,Lumajang,20240611,80,28
279,Lumajang,20240611,85,25
280,Lumajang,20240612,85,25
281,Lumajang,20240612,65,31
282,Lumajang,20240612,85,26
283,Lumajang,20240612,90,24
284,Lumajang,20240613,90,25
285,Lumajang,20240613,75,30
